"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "Year"
"1" 1935-01-10 1935-01-10 1935-01-10 1935-03-13 1935-03-13 1935-01-22 1935-08-09 1934-12-01 1935-01-23 1935-01-23 1935-05-05 1935-09-04 1935-05-04 1935-05-04 1935-03-18 1935-04-07 1935-05-04 1935-05-05 1935-05-07 1935-05-08 1935-05-05 1935-05-04 1935-05-07 1935-05-06 1935-03-26 1935-05-12 1935-05-14 1935
"2" 1936-03-28 1936-03-28 1936-03-18 1936-03-18 1936-03-18 1936-03-25 1936-02-28 1936-01-20 1936-02-15 1936-03-18 1936-02-28 1936-02-29 1936-02-27 1936-02-27 1936-03-29 1936-04-15 1936-02-27 1936-02-28 1936-02-29 1936-03-01 1936-02-29 1936-02-27 1936-03-01 1936-02-28 1936-03-28 1936-03-05 1936-03-06 1936
"3" 1937-01-25 1937-01-25 1937-01-25 1937-04-27 1937-04-27 1937-01-25 1937-01-26 1937-01-20 1937-01-20 1937-01-21 1937-01-23 1937-01-26 1937-01-22 1937-01-22 1937-01-27 1937-01-28 1937-01-16 1937-01-17 1937-01-16 1937-01-16 1937-01-16 1937-01-16 1937-01-18 1937-01-16 1937-01-25 1937-01-22 1937-01-22 1937
"4" 1938-02-14 1937-12-19 1937-12-19 1937-10-29 1937-12-19 1938-04-10 1938-03-17 1937-10-20 1937-10-20 1937-10-28 1938-04-10 1938-04-10 1938-04-09 1938-03-16 1938-03-21 1938-08-04 1938-04-09 1938-04-10 1938-04-12 1938-04-13 1938-04-01 1938-04-01 1938-04-04 1938-03-17 1938-03-21 1938-04-07 1938-04-16 1938
"5" 1939-02-21 1939-02-21 1939-02-21 1939-02-04 1939-02-04 1939-03-13 1939-03-15 1939-08-19 1939-02-11 1939-02-04 1939-04-18 1939-04-17 1939-04-16 1939-04-16 1939-02-08 1939-02-11 1939-03-13 1939-03-14 1939-03-15 1939-03-16 1939-03-14 1939-04-17 1939-04-20 1939-04-17 1939-04-21 1939-04-22 1939-04-24 1939
"6" 1940-04-04 1940-04-05 1940-04-01 1940-04-20 1940-04-21 1940-04-21 1940-03-06 1940-08-14 1940-08-15 1940-08-15 1940-04-21 1940-04-21 1940-04-21 1940-04-20 1940-04-25 1940-04-25 1940-03-04 1940-03-05 1940-03-07 1940-03-07 1940-05-03 1940-04-21 1940-04-21 1940-04-20 1940-04-24 1940-04-26 1940-04-27 1940
"7" 1940-12-14 1940-12-14 1940-12-14 1941-06-05 1941-06-05 1940-12-30 1940-12-31 1941-07-08 1941-07-06 1941-04-06 1941-06-05 1941-06-05 1941-06-16 1941-06-14 1941-06-10 1941-01-27 1941-06-14 1941-06-15 1941-06-16 1941-06-16 1941-06-11 1941-06-14 1941-06-11 1941-06-13 1941-06-12 1941-06-13 1941-06-14 1941
"8" 1942-03-18 1942-03-18 1942-03-18 1942-04-10 1942-03-10 1942-04-11 1942-03-17 1942-05-22 1942-05-22 1942-05-23 1942-04-12 1942-04-12 1942-04-11 1942-04-11 1942-03-18 1942-04-15 1942-02-07 1942-02-08 1942-02-10 1942-02-11 1942-06-29 1942-02-07 1942-04-13 1942-04-11 1942-04-15 1942-04-16 1942-04-17 1942
"9" 1942-12-31 1942-12-30 1942-12-31 1942-12-30 1942-12-31 1942-12-30 1942-12-31 1942-12-30 1942-12-31 1942-12-31 1943-03-21 1943-03-21 1943-03-20 1943-03-20 1943-03-24 1943-03-27 1943-05-19 1943-05-19 1943-05-20 1943-05-20 1943-05-20 1943-05-18 1943-05-21 1943-03-20 1943-03-23 1943-03-25 1943-05-25 1943
"10" 1944-04-13 1944-04-13 1944-04-13 1944-03-24 1944-03-18 1944-04-13 1944-03-09 1944-02-18 1944-02-18 1944-02-19 1944-04-14 1944-04-14 1944-04-12 1944-04-12 1944-04-16 1944-04-17 1944-04-13 1944-04-13 1944-04-15 1944-04-16 1944-04-25 1944-04-12 1944-04-14 1944-04-12 1944-04-16 1944-04-16 1944-04-20 1944
