"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "Year"
"1" 55600 62500 68200 96400 217000 12400 40000 28000 52300 123000 21100 30600 16700 19500 558000 73300 25000 36700 51800 49400 12200 10800 32300 10600 24600 48000 122000 1935
"2" 112000 122000 182000 132000 465000 32400 26100 21800 46700 142000 45800 49300 24600 32100 620000 52700 62600 87200 95800 93400 8450 14500 27100 16200 21400 37600 122000 1936
"3" 95400 131000 147000 97300 321000 41100 45000 19300 36000 113000 96500 39500 46600 71500 1110000 204000 45200 58000 68000 73400 16900 32000 61100 49400 99000 182000 285000 1937
"4" 65800 76100 99400 118000 231000 20000 19100 24200 46700 138000 46600 55300 28100 43800 346000 44200 43400 59800 71900 76400 30600 25100 46000 31500 33600 71000 162000 1938
"5" 76000 82100 85000 109000 207000 20400 21600 18200 18400 95700 32500 60200 23400 40800 622000 72200 52600 73600 97500 106000 19000 21700 49300 33700 55900 102000 197000 1939
"6" 96000 109000 116000 87400 249000 28300 22000 95000 126000 163000 66000 109000 24700 48400 597000 48800 25000 33300 25900 26000 8200 10400 31800 37500 51200 77400 1e+05 1940
"7" 60000 70800 76600 117000 210000 15100 12500 12200 21900 47600 16000 17900 4360 5990 260000 23600 13600 13500 15100 16500 4350 2970 11200 3020 11500 20800 38300 1941
"8" 83900 95300 102000 51500 187000 24600 13500 21800 33200 87600 31600 33000 18400 21500 402000 46100 29300 43600 53000 50100 9700 12200 31500 16400 28300 59000 106000 1942
"9" 102000 146000 162000 105000 365000 35000 14400 21800 29600 107000 66000 94400 31300 51000 615000 67500 84700 129000 182000 186000 29400 35800 76000 42000 62600 97400 302000 1943
"10" 61400 70800 78000 57200 153000 16400 13200 21200 36200 66900 29100 33400 27100 30300 448000 39800 45500 71500 80800 81700 12900 24100 52600 36000 46200 91200 167000 1944
"11" 79900 113000 137000 95400 309000 20200 16600 46100 53300 88500 77300 104000 26600 43700 810000 70200 29800 46000 53200 52300 20500 13800 49800 40300 72600 105000 162000 1945
